===== SHEET: Overall status =====
1	System (HRM, TK, Payroll)	Phase No	Module	Module No	Feature Points	Activity	Sub-Module	Feature (PaaS Ready, Multi-Database)	Description	Additional Description	Actor access	Documentation	UI	Development	Testing	Reference	Remarks				
2	Payroll	Phase II	Single Sign-On Module	1		1	Sign In	User Single Sign-On * Existing in HRM and TK (Phase 1)	User to sign in using username and password * Security password, change password, reset password, lock/unlock account ** P&A is using OAuth. 2. If the client requests SSO, what authentication method will be used on their side? (Kris of TSG)	1. Regular login is via Username and Password 2. P&A is using OAuth - //Connect to Active Directory; using SAML 3. Password is part of the User Profile module	All Users	Covered in phase 1	Approved	Not yet started							
3	Payroll	Phase II	Single Sign-On Module	1		2	Sign In	MFA (Multi Factor Authentication) * Existing in HRM and TK (Phase 1)	Additional layer of protection ** O365 Microsoft Authenticator for authentication like SMS code or using microsoft authenticator app	1. SMS 2-Factor Authentication 2. O365 Microsoft Authenticator for authentication like SMS code or using microsoft authenticator app	All Users	Covered in phase 1	In progress	Not yet started							
4	Payroll	Phase II	Design Module	2		3	User Interface	Tab Panels * Existing in HRM and TK (Phase 1)	Display HRM, TK, Payroll, Settings, Notifications Icon, Profile/Account (Change Password, Change Settings, Access the Helpdesk/Ticketing module, Access the Self-Learning Module (FAQs), and Log-out) * Shall be responsive, allowing for proper display on mobile, tablet, laptop, and desktop devices		All Users	Covered in phase 1	Approved	In progress							
5	Payroll	Phase II	Design Module	2		4	User Interface	Menus/Modules * Existing in HRM and TK (Phase 1)	Display modules/features * * Shall be responsive, allowing for proper display on mobile, tablet, laptop, and desktop devices		All Users	Covered in phase 1	Approved	In progress							
6	Payroll	Phase II	Design Module	2		5	User Interface	Widget * Existing in HRM and TK (Phase 1)	Display widgets * Shall be responsive, allowing for proper display on mobile, tablet, laptop, and desktop devices		All Users	Covered in phase 1	Approved	In progress							
7	Payroll	Phase II	Design Module	2		6	User Interface	User Interface * Existing in HRM and TK (Phase 1)	The user interface of the system shall be responsive, allowing for proper display on mobile, tablet, laptop, and desktop devices * P&A Interface must have a client add and search button/facility		All Users	Covered in phase 1	Approved	Deployed							
8	Payroll	Phase II	Design Module	2		7	User Interface	User Interface * Existing in HRM and TK (Phase 1)	The user interface shall be user-friendly and can be easily navigated by a user without prior training * P&A Interface must have a client add and search button/facility		All Users	Covered in phase 1	Approved	Deployed							
9	Payroll	Phase II	Design Module	2		8	User Interface	User Profile * Existing in HRM and TK (Phase 1)	Displays - User profile information; Change password; Settings; Helpdesk/Ticketing; Self Learning Module/FAQs; and Log-out		All Users	Covered in phase 1	Approved	Deployed							
10	Payroll	Phase II	Self-Learning Module	3		9	Guide	Set Up and Navigation Guide/FAQs * Existing in HRM and TK (Phase 1)	Can be a wizard/guide/how tos/FAQs		All Users	Covered in phase 1	Approved	Deployed							
11	Payroll	Phase II	Settings Module/System Configuration	4		10	Company Onboarding	Adding of new client/s * Existing in HRM and TK (Phase 1)	Authorized users can add new clients by setting up their account and adding necessary client information * A unique client/company code will be created		P&A Admin, Client Admin	Covered in phase 1	Approved	Deployed							
12	Payroll	Phase II	Settings Module/System Configuration	4		11	Company Onboarding	Transition from previous system or vendor, or start up setting up with checklist / YTD * Existing in HRM and TK (Phase 1)	Importing of previous data from the client's previous system/records or uploading of previous data, or uploading/encoding start up/set up / YTD * With report generation * With upload and encode facility (with template)		P&A Admin, Client Admin	Covered in phase 1	Approved	Deployed							
13	Payroll	Phase II	Settings Module/System Configuration	4		12	Company Information/Profile Settings	Basic Company Information Set Up * Existing in HRM and TK (Phase 1)	Setting up of Company logo, Company Code, Display name, Legal Name, Industry, Government Numbers (SSS number, SSS contribution locator, SSS loan locator, SSS branch code, HDMF number, HDMF locator, PHIC number, TIN, BIR RDO, etc.), Bank, etc. - SEE ANNEX A * P&A Admin or Reviewer to set up a particular client (Input client name or code and click search button. Apply filters if necessary) * Only authorized users (team members) are allowed to view a particular client information See the designated tab on the excel file for Sub Module 1 * With upload and encode facility (with template) * With report generation to pdf and excel ** Can upload company's permanent files like BIR regisration, SSS registration, etc. * Customizable and unlimited entries		P&A Admin, Client Admin	Covered in phase 1	Approved	Deployed							
