deck_kind,slide_number,narrative_role,asset,source_ids,app_revision,capture_company,verification_status,notes
premeeting,1,opening thesis,,SRC-20260824-002,3999f64+working-tree,Atlas Simulator Sandbox,verified,Narrative page; claims traced to the listed sources
premeeting,2,learning outcomes,,SRC-20260824-002,3999f64+working-tree,Atlas Simulator Sandbox,verified,Narrative page; claims traced to the listed sources
premeeting,3,evidence legend,,SRC-20260824-002,3999f64+working-tree,Atlas Simulator Sandbox,verified,Narrative page; claims traced to the listed sources
premeeting,4,conceptual model,shots/policy-chain.png,SRC-20260824-006,3999f64+working-tree,Atlas Simulator Sandbox,verified,Captured live 24 Aug 2026; callouts placed from DOM rectangles
premeeting,5,product orientation,shots/cb-overview.png,SRC-20260824-006,3999f64+working-tree,Atlas Simulator Sandbox,verified,Captured live 24 Aug 2026; callouts placed from DOM rectangles
premeeting,6,library contents,,SRC-20260824-004;SRC-20260824-006,3999f64+working-tree,Atlas Simulator Sandbox,verified,Narrative page; claims traced to the listed sources
premeeting,7,workspace tabs,shots/cb-tabs.png,SRC-20260824-006,3999f64+working-tree,Atlas Simulator Sandbox,verified,Captured live 24 Aug 2026; callouts placed from DOM rectangles
premeeting,8,concept glossary,,SRC-20260824-003;SRC-20260824-004,3999f64+working-tree,Atlas Simulator Sandbox,verified,Narrative page; claims traced to the listed sources
premeeting,9,execution classes,,SRC-20260824-005;SRC-20260824-008,3999f64+working-tree,Atlas Simulator Sandbox,verified,Narrative page; claims traced to the listed sources
premeeting,10,section divider,,,3999f64+working-tree,Atlas Simulator Sandbox,verified,Narrative page; claims traced to the listed sources
premeeting,11,register field guide,shots/cb-register.png,SRC-20260824-006,3999f64+working-tree,Atlas Simulator Sandbox,verified,Captured live 24 Aug 2026; callouts placed from DOM rectangles
premeeting,12,register columns 1,shots/cb-columns.png,SRC-20260824-006,3999f64+working-tree,Atlas Simulator Sandbox,verified,Captured live 24 Aug 2026; callouts placed from DOM rectangles
premeeting,13,register columns 2,shots/cb-columns.png,SRC-20260824-003;SRC-20260824-006,3999f64+working-tree,Atlas Simulator Sandbox,verified,Captured live 24 Aug 2026; callouts placed from DOM rectangles
premeeting,14,csv import template,shots/import-toolbar.png,SRC-20260824-003;SRC-20260824-006,3999f64+working-tree,Atlas Simulator Sandbox,verified,Captured live 24 Aug 2026; callouts placed from DOM rectangles
premeeting,15,creation animated demo,evidence/computation-creation-walkthrough.gif,SRC-20260824-006,3999f64+working-tree,Atlas Simulator Sandbox,verified,Captured live 24 Aug 2026; callouts placed from DOM rectangles
premeeting,16,create field guide 1,shots/create-details.png,SRC-20260824-006,3999f64+working-tree,Atlas Simulator Sandbox,verified,Captured live 24 Aug 2026; callouts placed from DOM rectangles
premeeting,17,create field guide 2,shots/create-expression.png,SRC-20260824-004;SRC-20260824-006,3999f64+working-tree,Atlas Simulator Sandbox,verified,Captured live 24 Aug 2026; callouts placed from DOM rectangles
premeeting,18,formula references another computation,shots/formula-reference.png,SRC-20260824-004;SRC-20260824-006,3999f64+working-tree,Atlas Simulator Sandbox,verified,Captured live 24 Aug 2026; callouts placed from DOM rectangles
