source_id,type,path_or_url,sha256,modified_at,effective_date,authority,module,locator,notes
SRC-20260824-001,presentation,C:\Users\josrp\Downloads\Presentations\ATLAS_Phase2_Computational_Basis_Demo_v2.pptx,ff10a9afc6c079c737744e4da444f723b4fff3e52d991314511957ce765548d8,2026-08-11T02:37:59.390852+00:00,,retained-reference,Computational Basis Integration,reference-deck,Visual and explanatory reference
SRC-20260824-002,application,C:\Users\josrp\OneDrive\Documents\Atlas\company-configuration-prototype\package.json,e14990a7173f3900654ec0eac9e20954b41e0d758dd54107f102a1b6bc8cab8e,2026-08-24T02:20:51+08:00,,primary,Computational Basis Integration,3999f64+working-tree,Live prototype and application behavior
SRC-20260824-003,source-code,C:\Users\josrp\OneDrive\Documents\Atlas\company-configuration-prototype\src\ComputationalBasis.jsx,21c18612c64d50a87e56472a8e9956e174f2bcd42fe35da082162cb4f89201fb,2026-08-24T02:20:51+08:00,,primary,Computational Basis Integration,ComputationalBasis.jsx,Creation assignment reference-source and history behavior
SRC-20260824-004,source-code,C:\Users\josrp\OneDrive\Documents\Atlas\company-configuration-prototype\src\computationCatalog.js,7550900445efc7f536dde90030375980e73aa927f31708df726dd59e34480570,2026-08-24T02:20:51+08:00,,primary,Computational Basis Integration,computationCatalog.js,Approved fields formulas and sample values
SRC-20260824-005,source-code,C:\Users\josrp\OneDrive\Documents\Atlas\company-configuration-prototype\src\payrollEngine.js,5acdbe9963a555146d14bc6c1d1fe45255a72fa7af458c9937fcf7e507d74c8c,2026-08-24T02:20:51+08:00,,primary,Computational Basis Integration,payrollEngine.js,Transaction-time computation invocation and trace
SRC-20260824-006,evidence,C:\Users\josrp\OneDrive\Documents\Atlas\client-meetings\2026-08-24-computational-basis-integration\evidence\screenshots\computational-basis-overview.png,9a9d258b5780ce3bc67aa356e5d862ddee87008b041838ee934531361186f4b2,2026-08-24T02:20:51+08:00,,supporting,Computational Basis Integration,screenshots-and-gifs,Representative live evidence; the evidence folder contains all captures and two walkthrough GIFs
SRC-20260824-007,presentation,C:\Users\josrp\OneDrive\Documents\Atlas\client-meetings\2026-08-24-computational-basis-integration\outputs\ATLAS_2026-08-24_Computational_Basis_Integration_PreMeeting_v01.pptx,d81afc86b0eb1d6ace97d8b7b96f0218d9239c99bdcd6a385f85d2d7a69944d2,2026-08-24T02:20:51+08:00,,output,Computational Basis Integration,22-slides,Verified pre-meeting deck
SRC-20260824-008,source-code,C:\Users\josrp\OneDrive\Documents\Atlas\company-configuration-prototype\src\payrollTraceability.js,,2026-08-24T04:35:00+08:00,,primary,Computational Basis Integration,payrollTraceability.js,Eighteen-step source policy and output trail rendered on a posted payroll
SRC-20260824-009,source-code,C:\Users\josrp\OneDrive\Documents\Atlas\company-configuration-prototype\src\PayrollProcessing.jsx,,2026-08-24T04:35:00+08:00,,primary,Computational Basis Integration,PayrollProcessing.jsx,Supplies the stored computation library to the payroll calculation context
SRC-20260824-010,presentation,C:\Users\josrp\OneDrive\Documents\Atlas\client-meetings\2026-08-24-computational-basis-integration\outputs\ATLAS_2026-08-24_Computational_Basis_Integration_PreMeeting_v03.pptx,3c099e73f714275e9e3b5d37f85ee59b5f655da97052162f2077863ea052ecfd,2026-08-24T04:35:00+08:00,,output,Computational Basis Integration,49-slides,Rebuilt pre-meeting deck; every screen recaptured live and both walkthrough GIFs regenerated
